title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-03,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-03,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-12-03,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-12-03,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-03,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-03,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-02,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-12-02,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-02,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-02,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-02,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-02,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-02,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-02,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-12-02,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-02,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-02,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-12-02,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-12-02,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-02,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-02,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-12-01,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-12-01,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-12-01,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-12-01,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-12-01,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-12-01,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-12-01,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-12-01,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-12-01,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-12-01,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-12-01,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-12-01,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-12-01,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-12-01,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-12-01,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-30,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-11-30,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-30,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-30,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-30,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-11-30,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-30,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-30,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-30,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-30,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-30,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-30,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-11-30,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-30,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-30,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-29,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-11-29,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-29,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-29,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-29,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-11-29,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-29,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-29,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-29,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-29,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-29,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-29,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-11-29,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-29,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-29,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-28,1,1,5
THE LOST METAL,Brandon Sanderson,0.00,Tor,0765391198,by Brandon Sanderson,2022-11-28,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-28,3,3,75
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-28,4,4,5
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-28,5,5,50
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316485659,by Michael Connelly,2022-11-28,6,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-28,7,10,11
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-28,8,12,187
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-28,9,6,4
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-28,10,14,2
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-28,11,7,45
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-28,12,9,3
A LIGHT IN THE FLAME,Jennifer L. Armentrout,0.00,Blue Box,1957568151,by Jennifer L. Armentrout,2022-11-28,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-28,14,8,32
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-28,15,13,72
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-27,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-27,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-27,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-27,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-27,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-27,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-27,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-27,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-27,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-27,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-27,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-27,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-27,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-27,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-27,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-26,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-26,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-26,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-26,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-26,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-26,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-26,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-26,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-26,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-26,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-26,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-26,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-26,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-26,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-26,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-25,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-25,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-25,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-25,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-25,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-25,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-25,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-25,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-25,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-25,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-25,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-25,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-25,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-25,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-25,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-24,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-24,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-24,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-24,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-24,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-24,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-24,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-24,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-24,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-24,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-24,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-24,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-24,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-24,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-24,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-23,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-23,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-23,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-23,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-23,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-23,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-23,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-23,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-23,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-23,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-23,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-23,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-23,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-23,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-23,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-22,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-22,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-22,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-22,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-22,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-22,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-22,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-22,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-22,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-22,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-22,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-22,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-22,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-22,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-22,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-21,1,1,4
DESERT STAR,Michael Connelly,0.00,"Little, Brown",0316421464,by Michael Connelly,2022-11-21,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-21,3,3,74
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-21,4,5,4
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-21,5,6,49
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-21,6,7,3
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-21,7,9,44
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-11-21,8,0,31
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003058,by Janet Evanovich,2022-11-21,9,2,2
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-21,10,10,10
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499188,by James Patterson,2022-11-21,11,4,2
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-21,12,11,186
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-11-21,13,0,71
LESSONS IN CHEMISTRY,Bonnie Garmus,0.00,Doubleday,038554734X,by Bonnie Garmus,2022-11-21,14,0,1
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-21,15,15,6
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-20,1,1,3
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003082,by Janet Evanovich,2022-11-20,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-20,3,3,73
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499196,by James Patterson,2022-11-20,4,0,1
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-20,5,4,3
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-20,6,5,48
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-20,7,2,2
RACING THE LIGHT,Robert Crais,0.00,Putnam,0525535756,by Robert Crais,2022-11-20,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-20,9,9,43
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-20,10,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-20,11,12,185
LONG SHADOWS,David Baldacci,0.00,Grand Central,1538719827,by David Baldacci,2022-11-20,12,10,4
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-11-20,13,14,3
FIRE AND BLOOD,George R.R. Martin,0.00,Bantam,0593598008,by George R.R. Martin,2022-11-20,14,6,14
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-20,15,13,5
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-19,1,1,3
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003082,by Janet Evanovich,2022-11-19,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-19,3,3,73
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499196,by James Patterson,2022-11-19,4,0,1
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-19,5,4,3
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-19,6,5,48
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-19,7,2,2
RACING THE LIGHT,Robert Crais,0.00,Putnam,0525535756,by Robert Crais,2022-11-19,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-19,9,9,43
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-19,10,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-19,11,12,185
LONG SHADOWS,David Baldacci,0.00,Grand Central,1538719827,by David Baldacci,2022-11-19,12,10,4
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-11-19,13,14,3
FIRE AND BLOOD,George R.R. Martin,0.00,Bantam,0593598008,by George R.R. Martin,2022-11-19,14,6,14
MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,0.00,Ballantine,1984818384,by Jodi Picoult and Jennifer Finney Boylan,2022-11-19,15,13,5
IT STARTS WITH US,Colleen Hoover,0.00,Atria,1668001225,by Colleen Hoover,2022-11-18,1,1,3
GOING ROGUE,Janet Evanovich,0.00,Atria,1668003082,by Janet Evanovich,2022-11-18,2,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-11-18,3,3,73
TRIPLE CROSS,James Patterson,0.00,"Little, Brown",0316499196,by James Patterson,2022-11-18,4,0,1
THE BOYS FROM BILOXI,John Grisham,0.00,Doubleday,0385548923,by John Grisham,2022-11-18,5,4,3
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-11-18,6,5,48
NO PLAN B,Lee Child and Andrew Child,0.00,Delacorte,1984818546,by Lee Child and Andrew Child,2022-11-18,7,2,2
RACING THE LIGHT,Robert Crais,0.00,Putnam,0525535756,by Robert Crais,2022-11-18,8,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-11-18,9,9,43
FAIRY TALE,Stephen King,0.00,Scribner,1668002175,by Stephen King,2022-11-18,10,11,9
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-11-18,11,12,185
LONG SHADOWS,David Baldacci,0.00,Grand Central,1538719827,by David Baldacci,2022-11-18,12,10,4
DEMON COPPERHEAD,Barbara Kingsolver,0.00,Harper,0063251922,by Barbara Kingsolver,2022-11-18,13,14,3
FIRE AND BLOOD,George R.R. Martin,0.00,Bantam,0593598008,by George R.R. Martin,2022-11-18,14,6,14
